Sequence ID,Dayhoff statistic of serine,Percentage of serine,Secondary turn fraction,Instability Index,Proteasomal cleavages (MHC ligands),Molecular Weight,Count of linear B-cell epitopes,Dayhoff statistic of proline,Percentage of proline,N-linked glycosylation sites,Probability of Expression Inclusion Bodies,Dayhoff statistic of lysine,Secretory pathway signal peptide (SP),Mitochondrial targeting peptide (mTP),Percentage of lysine,Molar Extinction Coefficient A280,Arginine and lysine propeptide cleavage sites,Dayhoff statistic of asparagine,Dayhoff statistic of histidine,Binding Regions in Disordered Proteins,Percentage of histidine,Percentage of secondary helix,Dayhoff statistic of methionine,Percentage of asparagine,Percentage of methionine,Percentage of non polar mole,Percentage of small mole,Percentage of polar mole,Average hydrogen sparing,Average sulphur sparing,Dayhoff statistic of arginine,Percentage of arginine,Average oxygen sparing,Average nitrogen sparing,Percentage of isoleucine,Dayhoff statistic of isoleucine,Secondary sheet fraction,Dayhoff statistic of alanine,Percentage of alanine,Secondary helix fraction,Percentage of aliphatic mole,C-mannosylation sites,Dayhoff statistic of valine,Percentage of valine,Grand average of hydropathy (GRAVY),Class I Immunogenicity score,Percentage of glycine,Dayhoff statistic of glycine,SS,SN,PS,PL,LS,SQ,NS,SP,SR,QP,KV,LN,ST,GK,HS,DS,KA,PP,PR,GA,RS,II,RR,NN,EK,ME,QS,SD,MK,DK,IV,SV,PV,LP,VP,KK,SL,SE,AM,AI,KL,PG,IA,AK,KT,RL,PI,HL,RF,LG,GD,EN,AV,RP,YM,NP,TF,HN,TR,NH,VI,YH,FP,DF,SA,VK,AS,IP,AD,NL,YI,CC,NR,LR,KN,FS,TS,PE,IE,MA,FH,CK,DG,VT,PQ,DH,IK,MQ,IG,IS,PH,KD,WC,GI,GV,FI,EP,IH,RH,CV,QA,HY,IF,DM,IY,CP,GH,WR,WS,HF,PY,VV,HW,KG,KF,NE,YP,KC,HQ,MG
gi|685959040|gb|KGB34899.1|,1.326,9.285,0.2657,41.9680149413,302,106075.28,399,1.108,5.7631,6,0.760,0.744,0.048,0.048,4.9093,141640,0,1.315,1.547,5,3.095,26,1.067,5.6564,1.8143,50.8004,51.0139,49.1996,9.7631,0.0309,1.176,5.7631,2.5112,1.3959,4.8026,1.067,0.2209,0.670,5.7631,0.3031,20.064,0,1.116,7.3639,-0.458591248666,0.3787,5.8698,0.699,0.0096,0.0075,0.0043,0.0043,0.0064,0.0032,0.0064,0.0011,0.0032,0.0053,0.0043,0.0064,0.0043,0.0,0.0,0.0043,0.0032,0.0096,0.0032,0.0043,0.0064,0.0011,0.0053,0.0032,0.0053,0.0011,0.0032,0.0043,0.0,0.0021,0.0011,0.0085,0.0043,0.0021,0.0032,0.0032,0.0064,0.0021,0.0011,0.0043,0.0032,0.0032,0.0011,0.0,0.0032,0.0085,0.0032,0.0021,0.0011,0.0043,0.0064,0.0053,0.0053,0.0043,0.0,0.0075,0.0021,0.0,0.0021,0.0021,0.0021,0.0021,0.0011,0.0021,0.0053,0.0021,0.0043,0.0011,0.0011,0.0021,0.0011,0.0,0.0021,0.0064,0.0011,0.0032,0.0064,0.0032,0.0043,0.0021,0.0021,0.0,0.0053,0.0053,0.0,0.0021,0.0032,0.0,0.0032,0.0085,0.0011,0.0032,0.0,0.0032,0.0064,0.0021,0.0011,0.0,0.0,0.0021,0.0021,0.0011,0.0,0.0032,0.0021,0.0021,0.0032,0.0,0.0011,0.0021,0.0032,0.0053,0.0,0.0064,0.0021,0.0021,0.0032,0.0,0.0021,0.0
gi|226487698|emb|CAX74719.1|,2.049,14.3401,0.3236,59.8371827411,237,87181.43,395,1.367,7.1066,9,0.976,0.961,0.049,0.335,6.3452,58900,1,1.771,1.015,8,2.0305,18,0.970,7.6142,1.6497,43.6548,58.3756,56.3452,9.5723,0.0558,0.984,4.8223,2.5279,1.3769,3.4264,0.761,0.1853,0.561,4.8223,0.2284,15.736,0,0.769,5.0761,-0.569543147208,-14.971,3.2995,0.393,0.0266,0.0063,0.0102,0.0076,0.0102,0.0076,0.0114,0.0025,0.0051,0.0013,0.0025,0.0063,0.0152,0.0013,0.0013,0.0038,0.0076,0.0025,0.0038,0.0013,0.0063,0.0,0.0038,0.0076,0.0013,0.0,0.0076,0.0051,0.0013,0.0051,0.0025,0.0038,0.0038,0.0114,0.0063,0.0013,0.0127,0.0114,0.0013,0.0025,0.0025,0.0013,0.0013,0.0,0.0063,0.0051,0.0013,0.0013,0.0013,0.0038,0.0,0.0051,0.0025,0.0025,0.0,0.0063,0.0051,0.0,0.0038,0.0,0.0013,0.0,0.0013,0.0038,0.0089,0.0025,0.0051,0.0025,0.0025,0.0038,0.0013,0.0051,0.0038,0.0038,0.0013,0.0076,0.0152,0.0025,0.0013,0.0,0.0025,0.0025,0.0,0.0063,0.0025,0.0013,0.0013,0.0,0.0013,0.0089,0.0013,0.0013,0.0,0.0,0.0013,0.0,0.0063,0.0038,0.0,0.0025,0.0,0.0,0.0013,0.0,0.0,0.0063,0.0,0.0013,0.0013,0.0,0.0013,0.0038,0.0,0.0013,0.0051,0.0051,0.0,0.0013,0.0013,0.0013
gi|226466704|emb|CAX69487.1|,1.650,11.5502,0.2736,73.8188753799,110,37570.65,176,1.169,6.079,2,0.764,1.197,0.059,0.098,7.9027,31400,1,1.272,1.368,5,2.7356,38,0.715,5.4711,1.2158,42.2492,48.9362,57.7508,9.9757,0.0213,1.427,6.9909,2.5957,1.4347,6.079,1.351,0.2128,0.283,2.4316,0.2736,21.5805,0,1.013,6.6869,-0.824012158055,-3.2461,4.2553,0.507,0.0152,0.0061,0.0122,0.0061,0.0152,0.0091,0.0061,0.0213,0.0091,0.0061,0.0,0.0091,0.003,0.0,0.0061,0.0061,0.0,0.0061,0.0061,0.0,0.0091,0.003,0.0122,0.0,0.0061,0.003,0.003,0.0091,0.0,0.003,0.0,0.0091,0.0091,0.0061,0.003,0.0122,0.0,0.0061,0.0,0.0,0.0091,0.003,0.003,0.0,0.003,0.0,0.0,0.0,0.003,0.0091,0.0,0.0,0.003,0.0,0.0,0.0,0.003,0.003,0.003,0.003,0.0091,0.0,0.0,0.0,0.0,0.0091,0.003,0.0,0.0,0.0091,0.0,0.0,0.0,0.003,0.003,0.0061,0.0061,0.003,0.003,0.003,0.0,0.0,0.003,0.003,0.0,0.0,0.0122,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0091,0.0,0.0061,0.003,0.003,0.0,0.003,0.0,0.003,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0122,0.0,0.0,0.0,0.0
gi|226478742|emb|CAX72866.1|,1.949,13.6401,0.3098,56.0369843878,378,135398.56,748,1.138,5.9162,13,0.961,0.946,0.017,0.431,6.2449,119750,2,1.357,1.849,22,3.6976,26,0.918,5.834,1.5612,41.9063,54.8069,58.0937,9.5596,0.037,1.694,8.2991,2.5267,1.4971,3.6976,0.822,0.2038,0.822,7.0666,0.1964,13.8044,0,0.560,3.6976,-0.91569433032,-18.2009,5.5875,0.665,0.0312,0.0123,0.0066,0.0033,0.0058,0.0049,0.0107,0.014,0.0041,0.0033,0.0025,0.0041,0.0074,0.0041,0.0066,0.0074,0.0041,0.0058,0.0058,0.0041,0.0099,0.0,0.0099,0.009,0.0025,0.0016,0.0016,0.0082,0.0008,0.0025,0.0033,0.0066,0.0016,0.0058,0.0008,0.0041,0.0066,0.0016,0.0008,0.0041,0.0049,0.0049,0.0016,0.0033,0.0016,0.0049,0.0016,0.0025,0.0033,0.0016,0.0033,0.0008,0.0033,0.0066,0.0,0.0,0.0008,0.0,0.0041,0.0,0.0008,0.0016,0.0008,0.0008,0.0058,0.0041,0.0049,0.0016,0.0041,0.0041,0.0008,0.0008,0.0025,0.0066,0.0016,0.0041,0.0107,0.0008,0.0041,0.0016,0.0008,0.0016,0.0041,0.0025,0.0,0.0,0.0016,0.0,0.0008,0.0049,0.0033,0.0033,0.0025,0.0025,0.0016,0.0008,0.0016,0.0008,0.0033,0.0,0.0041,0.0,0.0,0.0008,0.0016,0.0008,0.0008,0.0,0.0,0.0016,0.0016,0.0,0.0008,0.0033,0.0,0.0041,0.0,0.0008,0.0016,0.0
gi|685957099|gb|KGB33249.1|,1.675,11.7284,0.3272,47.2713580247,93,35544.87,192,0.890,4.6296,3,0.942,0.374,0.066,0.098,2.4691,25900,0,1.436,1.543,1,3.0864,20,1.997,6.1728,3.3951,48.4568,56.4815,51.5432,9.3426,0.0494,1.764,8.642,2.5123,1.466,4.321,0.960,0.1944,0.718,6.1728,0.2253,16.0494,0,1.122,7.4074,-0.678086419753,-1.6092,10.1852,1.213,0.0062,0.0093,0.0123,0.0,0.0031,0.0062,0.0062,0.0062,0.0123,0.0031,0.0031,0.0031,0.0,0.0,0.0062,0.0093,0.0,0.0031,0.0093,0.0031,0.0031,0.0,0.0062,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0,0.0,0.0062,0.0031,0.0,0.0,0.0031,0.0031,0.0123,0.0,0.0031,0.0031,0.0,0.0062,0.0031,0.0,0.0,0.0,0.0031,0.0062,0.0031,0.0031,0.0031,0.0062,0.0031,0.0,0.0031,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0031,0.0093,0.0,0.0062,0.0,0.0,0.0031,0.0,0.0,0.0031,0.0123,0.0031,0.0,0.0093,0.0,0.0031,0.0031,0.0,0.0,0.0031,0.0031,0.0,0.0062,0.0,0.0,0.0,0.0062,0.0062,0.0031,0.0,0.0062,0.0062,0.0031,0.0031,0.0093,0.0031,0.0,0.0062,0.0,0.0031,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0031,0.0,0.0093,0.0,0.0031,0.0031,0.0062
gi|76157690|gb|AAX28543.2|,1.495,10.4651,0.218,54.3723837209,100,39691.62,101,0.503,2.6163,2,0.663,0.661,0.092,0.112,4.3605,39880,0,1.352,1.017,0,2.0349,32,0.513,5.814,0.8721,44.4767,47.3837,55.5233,10.0756,0.0407,1.483,7.2674,2.5727,1.436,6.3953,1.421,0.2093,0.270,2.3256,0.3256,25.0,0,1.057,6.9767,-0.408139534884,-2.0292,2.907,0.346,0.0116,0.0116,0.0029,0.0029,0.0203,0.0087,0.0,0.0,0.0087,0.0029,0.0,0.0029,0.0058,0.0,0.0058,0.0087,0.0,0.0,0.0029,0.0,0.0058,0.0029,0.0087,0.0116,0.0029,0.0029,0.0058,0.0087,0.0,0.0058,0.0,0.0058,0.0,0.0,0.0029,0.0029,0.0087,0.0087,0.0,0.0,0.0116,0.0,0.0029,0.0,0.0,0.0145,0.0029,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0029,0.0,0.0058,0.0058,0.0058,0.0058,0.0029,0.0029,0.0,0.0058,0.0,0.0,0.0029,0.0116,0.0,0.0,0.0087,0.0029,0.0058,0.0,0.0,0.0,0.0029,0.0058,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0029,0.0,0.0058,0.0029,0.0058,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0029,0.0058,0.0,0.0058,0.0,0.0,0.0,0.0029,0.0058,0.0
gi|685959279|gb|KGB35099.1|,2.058,14.4033,0.3467,58.8406584362,291,105690.24,614,1.306,6.7901,7,0.946,0.390,0.092,0.040,2.572,68760,3,1.531,2.006,18,4.0123,18,1.331,6.5844,2.2634,45.8848,57.8189,54.1152,9.3457,0.0309,1.197,5.8642,2.5309,1.4053,4.6296,1.029,0.2058,0.766,6.5844,0.2253,16.5638,0,0.717,4.7325,-0.608024691358,-10.8717,6.893,0.821,0.0288,0.0113,0.0041,0.0062,0.0093,0.0051,0.0051,0.001,0.0082,0.0031,0.001,0.0072,0.0123,0.0,0.0072,0.0093,0.0,0.0123,0.0051,0.0051,0.001,0.0,0.0093,0.0041,0.001,0.0,0.0062,0.0062,0.001,0.0,0.0062,0.0082,0.001,0.0051,0.0031,0.0,0.0072,0.0051,0.0021,0.0,0.0041,0.0072,0.0051,0.001,0.0,0.0041,0.0051,0.0031,0.001,0.0062,0.0031,0.0,0.0041,0.0051,0.0,0.0041,0.001,0.0021,0.0021,0.0021,0.001,0.001,0.0,0.0021,0.0051,0.0031,0.0113,0.0041,0.0021,0.0062,0.0021,0.0,0.0021,0.0041,0.001,0.0041,0.0175,0.0021,0.0021,0.0021,0.001,0.001,0.0041,0.0051,0.0,0.0,0.0,0.001,0.0041,0.0062,0.0031,0.0,0.0,0.0051,0.0031,0.0021,0.0021,0.0021,0.0051,0.001,0.0,0.001,0.001,0.001,0.0021,0.0,0.0041,0.0,0.0,0.001,0.001,0.0031,0.0,0.001,0.0021,0.0021,0.001,0.001,0.0031,0.001
gi|685965042|gb|KGB39815.1|,1.750,12.2517,0.2682,55.7218543046,104,33211.94,69,0.891,4.6358,2,0.855,0.702,0.136,0.117,4.6358,22920,1,1.078,1.656,0,3.3113,40,1.169,4.6358,1.9868,53.3113,51.3245,46.6887,9.851,0.043,1.284,6.2914,2.4536,1.3808,7.947,1.766,0.2616,0.847,7.2848,0.3179,26.8212,1,1.104,7.2848,-0.0592715231788,-1.9454,5.298,0.631,0.0265,0.0132,0.0066,0.0099,0.0265,0.0,0.0033,0.0066,0.0099,0.0033,0.0033,0.0,0.0033,0.0,0.0,0.0099,0.0033,0.0033,0.0,0.0033,0.0066,0.0066,0.0066,0.0,0.0066,0.0066,0.0,0.0,0.0,0.0033,0.0066,0.0066,0.0033,0.0033,0.0,0.0,0.0099,0.0132,0.0,0.0099,0.0066,0.0,0.0033,0.0066,0.0066,0.0132,0.0066,0.0033,0.0033,0.0033,0.0066,0.0,0.0066,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0066,0.0033,0.0,0.0,0.0099,0.0033,0.0033,0.0033,0.0,0.0,0.0033,0.0033,0.0033,0.0066,0.0033,0.0033,0.0033,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0066,0.0033,0.0,0.0,0.0066,0.0132,0.0,0.0033,0.0,0.0,0.0066,0.0,0.0033,0.0066,0.0033,0.0,0.0033,0.0,0.0033,0.0,0.0,0.0033,0.0,0.0,0.0033,0.0,0.0,0.0066,0.0,0.0033,0.0,0.0,0.0033,0.0,0.0033,0.0099
gi|685960651|gb|KGB36338.1|,1.720,12.037,0.2759,42.2603703704,168,58194.63,130,1.104,5.7407,2,0.827,0.533,0.051,0.404,3.5185,52370,0,0.861,1.111,0,2.2222,24,1.198,3.7037,2.037,57.4074,57.2222,42.5926,9.6222,0.05,0.907,4.4444,2.4315,1.2889,5.5556,1.235,0.2556,0.969,8.3333,0.3222,25.1852,0,1.150,7.5926,0.167962962963,-3.0795,6.1111,0.728,0.0111,0.0056,0.0037,0.0093,0.0204,0.0019,0.0019,0.0056,0.0056,0.0019,0.0019,0.0,0.0056,0.0019,0.0056,0.0074,0.0019,0.0019,0.0,0.0019,0.0037,0.0056,0.0037,0.0019,0.0019,0.0,0.0019,0.0037,0.0019,0.0,0.0,0.013,0.0074,0.0148,0.0056,0.0,0.0148,0.0074,0.0019,0.0037,0.0074,0.0019,0.0019,0.0037,0.0019,0.0111,0.0056,0.0056,0.0,0.0037,0.0056,0.0019,0.0074,0.0,0.0,0.0056,0.0,0.0,0.0074,0.0019,0.0,0.0056,0.0019,0.0037,0.0093,0.0037,0.0111,0.0037,0.0037,0.0056,0.0,0.0,0.0019,0.0037,0.0019,0.0056,0.0037,0.0019,0.0,0.0037,0.0,0.0,0.0037,0.0037,0.0,0.0019,0.0019,0.0019,0.0074,0.0093,0.0037,0.0056,0.0,0.0019,0.0037,0.0056,0.0,0.0,0.0037,0.0037,0.0056,0.0,0.0019,0.0019,0.0019,0.0,0.0,0.0037,0.0019,0.0,0.0037,0.0111,0.0,0.0019,0.0,0.0019,0.0,0.0,0.0037,0.0019
gi|685967550|gb|KGB41443.1|,1.314,9.2,0.24,43.38162,327,114078.88,296,0.885,4.6,4,0.544,0.758,0.074,0.414,5.0,132130,0,1.209,1.350,0,2.7,33,1.294,5.2,2.2,51.5,47.7,48.5,9.844,0.042,1.000,4.9,2.526,1.358,5.2,1.156,0.248,0.628,5.4,0.323,21.3,0,0.818,5.4,-0.3195,-1.8135,5.0,0.595,0.006,0.006,0.003,0.006,0.014,0.005,0.004,0.005,0.005,0.0,0.003,0.009,0.003,0.004,0.0,0.007,0.003,0.0,0.001,0.004,0.003,0.002,0.0,0.001,0.003,0.0,0.003,0.01,0.003,0.001,0.001,0.006,0.002,0.002,0.004,0.001,0.006,0.004,0.002,0.007,0.008,0.0,0.002,0.004,0.002,0.009,0.001,0.003,0.004,0.002,0.001,0.004,0.002,0.003,0.0,0.002,0.003,0.002,0.004,0.001,0.002,0.001,0.005,0.006,0.007,0.0,0.007,0.003,0.003,0.008,0.001,0.001,0.001,0.002,0.003,0.006,0.005,0.004,0.008,0.0,0.004,0.0,0.004,0.001,0.002,0.0,0.004,0.002,0.004,0.004,0.003,0.004,0.0,0.004,0.006,0.0,0.004,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.005,0.0,0.002,0.003,0.0,0.003,0.001,0.003,0.004,0.0,0.001,0.0
