Sequence ID,Dayhoff statistic of serine,Percentage of serine,Secondary turn fraction,Instability Index,Proteasomal cleavages (MHC ligands),Molecular Weight,Count of linear B-cell epitopes,Dayhoff statistic of proline,Percentage of proline,N-linked glycosylation sites,Probability of Expression Inclusion Bodies,Dayhoff statistic of lysine,Secretory pathway signal peptide (SP),Mitochondrial targeting peptide (mTP),Percentage of lysine,Molar Extinction Coefficient A280,Arginine and lysine propeptide cleavage sites,Dayhoff statistic of asparagine,Dayhoff statistic of histidine,Binding Regions in Disordered Proteins,Percentage of histidine,Percentage of secondary helix,Dayhoff statistic of methionine,Percentage of asparagine,Percentage of methionine,Percentage of non polar mole,Percentage of small mole,Percentage of polar mole,Average hydrogen sparing,Average sulphur sparing,Dayhoff statistic of arginine,Percentage of arginine,Average oxygen sparing,Average nitrogen sparing,Percentage of isoleucine,Dayhoff statistic of isoleucine,Secondary sheet fraction,Dayhoff statistic of alanine,Percentage of alanine,Secondary helix fraction,Percentage of aliphatic mole,C-mannosylation sites,Dayhoff statistic of valine,Percentage of valine,Grand average of hydropathy (GRAVY),Class I Immunogenicity score,Percentage of glycine,Dayhoff statistic of glycine,SS,SN,PS,PL,LS,SQ,NS,SP,SR,QP,KV,LN,ST,GK,HS,DS,KA,PP,PR,GA,RS,II,RR,NN,EK,ME,QS,SD,MK,DK,IV,SV,PV,LP,VP,KK,SL,SE,AM,AI,KL,PG,IA,AK,KT,RL,PI,HL,RF,LG,GD,EN,AV,RP,YM,NP,TF,HN,TR,NH,VI,YH,FP,DF,SA,VK,AS,IP,AD,NL,YI,CC,NR,LR,KN,FS,TS,PE,IE,MA,FH,CK,DG,VT,PQ,DH,IK,MQ,IG,IS,PH,KD,WC,GI,GV,FI,EP,IH,RH,CV,QA,HY,IF,DM,IY,CP,GH,WR,WS,HF,PY,VV,HW,KG,KF,NE,YP,KC,HQ,MG
Smp_194970.1,0.577,4.0404,0.1616,36.1484848485,41,11544.88,0,0.583,3.0303,0,0.616,0.918,0.992,0.007,6.0606,19940,0,1.175,0.505,0,1.0101,20,0.594,5.0505,1.0101,73.7374,35.3535,26.2626,10.9596,0.0101,0.206,1.0101,2.2727,1.202,18.1818,4.040,0.2121,0.352,3.0303,0.6263,44.4444,1,1.377,9.0909,1.31919191919,2.1398,4.0404,0.481,0.0,0.0101,0.0,0.0,0.0202,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0101,0.0202,0.0101,0.0,0.0202,0.0101,0.0,0.0,0.0,0.0101,0.0,0.0101,0.0,0.0101,0.0,0.0101,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0202,0.0,0.0,0.0,0.0101,0.0,0.0505,0.0,0.0101,0.0,0.0,0.0,0.0,0.0303,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AY810700,0.934,6.5359,0.2353,41.245751634,49,17062.34,41,0.880,4.5752,2,0.773,0.495,0.979,0.010,3.268,18450,0,1.064,0.327,0,0.6536,19,0.769,4.5752,1.3072,64.0523,48.366,35.9477,10.0196,0.0261,0.934,4.5752,2.3791,1.2745,11.1111,2.469,0.2157,0.760,6.5359,0.4248,28.7582,0,1.089,7.1895,0.498039215686,2.8217,7.8431,0.934,0.0,0.0065,0.0,0.0065,0.0065,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0065,0.0065,0.0,0.0065,0.0,0.0065,0.0065,0.0,0.0196,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0065,0.0196,0.0065,0.0065,0.0065,0.0065,0.0,0.0065,0.0131,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0131,0.0065,0.0,0.0065,0.0,0.0065,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0065,0.0065,0.0,0.0,0.0,0.0065,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.0065,0.0,0.0,0.0065,0.0,0.0,0.0065
AY810537,1.223,8.5586,0.2252,27.1171171171,78,24202.36,71,0.433,2.2523,0,0.648,0.956,0.950,0.016,6.3063,30940,0,1.257,0.450,0,0.9009,36,0.530,5.4054,0.9009,51.3514,56.7568,48.6486,9.6306,0.0315,0.919,4.5045,2.5135,1.3063,4.5045,1.001,0.2748,1.205,10.3604,0.2928,21.1712,0,0.751,4.955,-0.17027027027,0.0777,6.3063,0.751,0.0045,0.009,0.0,0.0,0.009,0.0045,0.0045,0.0,0.0,0.0,0.0,0.009,0.0045,0.0,0.0,0.009,0.009,0.0,0.0,0.009,0.0,0.0045,0.0,0.0,0.009,0.0,0.0,0.018,0.0,0.0,0.0045,0.0,0.0045,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0045,0.0,0.0045,0.009,0.0,0.0045,0.0,0.0,0.0,0.0045,0.009,0.0045,0.0,0.0045,0.0,0.0,0.009,0.0,0.0045,0.0,0.0045,0.0,0.0,0.0,0.0045,0.0045,0.0135,0.0,0.0045,0.0045,0.0,0.0045,0.0,0.0045,0.0045,0.0,0.0045,0.0045,0.0,0.0,0.0,0.0045,0.009,0.0135,0.0,0.0,0.0,0.0,0.0045,0.0045,0.0,0.0,0.0,0.009,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0045,0.009,0.0,0.0,0.009,0.0,0.0
EF553319,0.465,3.2558,0.1814,34.7027906977,61,23330.3,38,0.626,3.2558,1,0.616,0.987,0.996,0.008,6.5116,14440,0,0.649,1.395,0,2.7907,38,1.094,2.7907,1.8605,67.4419,48.8372,32.5581,9.9581,0.0837,0.380,1.8605,2.3163,1.2419,10.6977,2.377,0.2605,0.865,7.4419,0.3953,32.093,0,1.128,7.4419,0.687906976744,0.9677,8.8372,1.052,0.0,0.0,0.0047,0.0047,0.0047,0.0,0.0047,0.0047,0.0047,0.0,0.014,0.0047,0.0047,0.0047,0.0047,0.0,0.0,0.014,0.0,0.0186,0.0,0.0233,0.0,0.0,0.0047,0.0,0.0047,0.0,0.0,0.0093,0.0093,0.0,0.0,0.0,0.0,0.0047,0.0047,0.0,0.0,0.0093,0.0047,0.0,0.014,0.0,0.0,0.0,0.0,0.0093,0.0,0.0233,0.0047,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0047,0.0,0.0,0.0047,0.0,0.0,0.0093,0.0,0.0,0.0,0.0047,0.0093,0.0,0.0047,0.0,0.014,0.0,0.0,0.0047,0.0,0.0093,0.0,0.0,0.0047,0.0,0.0093,0.0047,0.014,0.0,0.0,0.0093,0.0047,0.0,0.0,0.014,0.0,0.0047,0.0,0.0047,0.0,0.0,0.0,0.0,0.0047,0.0047,0.0,0.0,0.0047,0.0,0.0047,0.0,0.0
AY813104,0.840,5.8824,0.2101,19.6394957983,69,26626.52,85,0.404,2.1008,0,0.655,1.146,0.066,0.074,7.563,18450,0,0.977,1.681,2,3.3613,47,1.977,4.2017,3.3613,51.2605,44.5378,48.7395,9.8361,0.0588,1.286,6.3025,2.4748,1.416,6.3025,1.401,0.3025,0.928,7.9832,0.2647,20.1681,0,0.509,3.3613,-0.427731092437,-0.3911,8.8235,1.050,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0042,0.0042,0.0,0.0042,0.0,0.0042,0.0126,0.0,0.0042,0.0042,0.0,0.0,0.0084,0.0,0.0084,0.0042,0.0042,0.0042,0.0084,0.0084,0.0,0.0084,0.0,0.0042,0.0042,0.0,0.0042,0.0,0.0084,0.0084,0.0042,0.0042,0.0,0.0084,0.0,0.0042,0.0,0.0,0.0042,0.0084,0.0042,0.0,0.0042,0.021,0.0,0.0,0.0042,0.0,0.0042,0.0,0.0,0.0042,0.0042,0.0,0.0,0.0,0.0042,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0126,0.0042,0.0084,0.0,0.0084,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0084,0.0,0.0042,0.0042,0.0,0.0042,0.0,0.0,0.0042,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0042,0.0
gi|56753856|gb|AAW25125.1|,0.598,4.1885,0.2042,25.877486911,61,21532.21,33,0.705,3.6649,0,0.669,0.635,0.747,0.011,4.1885,31970,1,1.339,1.309,0,2.6178,38,1.232,5.7592,2.0942,58.6387,48.1675,41.3613,9.9895,0.0366,1.068,5.2356,2.3979,1.3822,7.3298,1.629,0.2513,0.913,7.8534,0.3665,26.178,0,1.428,9.4241,0.115706806283,3.3213,6.8063,0.810,0.0,0.0,0.0,0.0157,0.0105,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0052,0.0052,0.0,0.0,0.0052,0.0,0.0157,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0052,0.0,0.0052,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0052,0.0105,0.0,0.0,0.0052,0.0052,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0052,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0052,0.0052,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0052,0.0,0.0,0.0052,0.0052,0.0,0.0052,0.0,0.0052,0.0052,0.0,0.0105,0.0052,0.0052,0.0052,0.0,0.0,0.0105,0.0052,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0052,0.0,0.0105,0.0,0.0
M63706,0.590,4.1284,0.1697,28.5146788991,56,23727.63,36,0.353,1.8349,0,0.594,0.765,0.992,0.016,5.0459,17420,0,0.960,0.688,0,1.3761,45,1.619,4.1284,2.7523,69.2661,51.3761,30.7339,9.8807,0.0963,0.281,1.3761,2.344,1.2018,10.0917,2.243,0.2706,1.067,9.1743,0.4174,32.5688,0,1.807,11.9266,0.873853211009,1.4915,6.8807,0.819,0.0,0.0,0.0,0.0,0.0092,0.0046,0.0,0.0,0.0,0.0,0.0046,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0275,0.0046,0.0,0.0,0.0046,0.0,0.0046,0.0,0.0,0.0138,0.0,0.0,0.0138,0.0,0.0,0.0,0.0046,0.0,0.0,0.0138,0.0,0.0092,0.0046,0.0,0.0046,0.0046,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0046,0.0092,0.0046,0.0,0.0,0.0092,0.0,0.0138,0.0,0.0,0.0,0.0092,0.0046,0.0,0.0,0.0046,0.0046,0.0046,0.0,0.0,0.0,0.0,0.0046,0.0,0.0046,0.0,0.0,0.0046,0.0,0.0,0.0138,0.0046,0.0,0.0046,0.0,0.0092,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0.0,0.0092,0.0046,0.0046,0.0,0.0,0.0,0.0
Smp_020370.1,0.805,5.6338,0.1643,36.9972300469,75,24278.1,39,0.722,3.7559,0,0.683,1.067,0.741,0.044,7.0423,18910,0,0.546,0.704,0,1.4085,48,1.933,2.3474,3.2864,61.0329,42.2535,38.9671,10.3756,0.0563,0.958,4.6948,2.3897,1.2958,7.9812,1.774,0.2864,0.710,6.1033,0.4085,29.5775,0,1.352,8.9202,0.380751173709,0.7851,4.6948,0.559,0.0047,0.0,0.0,0.0,0.0047,0.0047,0.0,0.0,0.0047,0.0094,0.0141,0.0047,0.0,0.0047,0.0,0.0,0.0047,0.0,0.0,0.0047,0.0047,0.0047,0.0047,0.0047,0.0188,0.0,0.0,0.0047,0.0,0.0094,0.0141,0.0094,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0047,0.0,0.0047,0.0047,0.0094,0.0141,0.0047,0.0094,0.0047,0.0,0.0,0.0,0.0047,0.0047,0.0,0.0,0.0,0.0047,0.0,0.0047,0.0,0.0047,0.0047,0.0,0.0,0.0047,0.0047,0.0047,0.0,0.0047,0.0047,0.0094,0.0,0.0,0.0047,0.0,0.0047,0.0,0.0047,0.0047,0.0094,0.0,0.0,0.0094,0.0094,0.0047,0.0,0.0,0.0,0.0141,0.0047,0.0,0.0,0.0,0.0,0.0141,0.0047,0.0,0.0047,0.0,0.0047,0.0,0.0,0.0047,0.0,0.0,0.0047,0.0,0.0047,0.0,0.0047,0.0,0.0,0.0,0.0047,0.0094,0.0,0.0,0.0,0.0,0.0
XM_002576947,1.226,8.5799,0.2544,23.5183431953,100,36376.12,114,0.740,3.8462,0,0.820,1.166,0.078,0.676,7.6923,28420,0,1.238,1.183,0,2.3669,38,1.566,5.3254,2.6627,55.0296,59.4675,44.9704,9.6036,0.0414,0.725,3.5503,2.4438,1.3018,5.9172,1.315,0.2219,1.066,9.1716,0.3018,23.0769,0,1.748,11.5385,-0.0420118343195,-0.5819,7.6923,0.916,0.0118,0.003,0.0059,0.0059,0.0,0.0,0.003,0.0,0.003,0.0,0.0207,0.0059,0.0148,0.0148,0.003,0.003,0.0148,0.0,0.0,0.0118,0.0,0.0059,0.0,0.0089,0.003,0.0,0.0,0.003,0.0,0.0089,0.003,0.0118,0.0,0.0,0.003,0.003,0.003,0.0,0.003,0.0,0.0148,0.003,0.0,0.0148,0.0,0.0059,0.0,0.0,0.0,0.003,0.0,0.0059,0.0059,0.0,0.0059,0.0,0.003,0.0,0.0,0.0,0.0089,0.0,0.003,0.003,0.0059,0.0059,0.0118,0.0089,0.003,0.0,0.0,0.0,0.003,0.003,0.0059,0.0,0.003,0.0,0.0,0.003,0.0,0.0,0.0089,0.0,0.0,0.003,0.0089,0.003,0.003,0.0089,0.0,0.003,0.0,0.0089,0.0059,0.003,0.0,0.003,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0237,0.0,0.0059,0.003,0.0059,0.0,0.0,0.0,0.0
Smp_154580.1,0.919,6.4327,0.1754,22.7450292398,50,19716.38,56,0.112,0.5848,1,0.568,0.797,0.067,0.134,5.2632,26930,0,1.088,0.877,0,1.7544,20,1.376,4.6784,2.3392,46.7836,49.7076,53.2164,9.8304,0.0409,1.313,6.4327,2.5497,1.4444,5.2632,1.170,0.1579,0.680,5.848,0.3041,18.7135,0,1.152,7.6023,-0.522222222222,-0.236,5.848,0.696,0.0058,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0058,0.0,0.0058,0.0,0.0058,0.0058,0.0058,0.0058,0.0,0.0,0.0,0.0058,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0117,0.0,0.0,0.0,0.0175,0.0058,0.0,0.0058,0.0,0.0058,0.0,0.0,0.0117,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0117,0.0,0.0,0.0058,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0058,0.0,0.0058,0.0,0.0,0.0,0.0,0.0058,0.0,0.0058,0.0,0.0,0.0058,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0058,0.0,0.0058,0.0058,0.0058
