Sequence ID,Dayhoff statistic of serine,Percentage of serine,Binding Regions in Disordered Proteins,Instability Index,Secretory pathway signal peptide (SP),Percentage of non polar mole,Other subcellular location,Secondary helix fraction,Percentage of polar mole,Secondary turn fraction,Aromaticity,Count of linear B-cell epitopes,Average carbon sparing,Arginine and lysine propeptide cleavage sites,Dayhoff statistic of arginine,Percentage of arginine,Percentage of aromatic mole,Grand average of hydropathy (GRAVY),Percentage of small mole,Average oxygen sparing,Absobance A280,Proteasomal cleavages (MHC ligands),Dayhoff statistic of phenylalanine,Probability of Expression Inclusion Bodies,Percentage of phenylalanine,Molecular Weight,Mitochondrial targeting peptide (mTP),Average sulphur sparing,Percentage of proline,Dayhoff statistic of proline,Average hydrogen sparing,Average nitrogen sparing,Percentage of lysine,Dayhoff statistic of lysine,Percentage of isoleucine,Dayhoff statistic of isoleucine,Dayhoff statistic of tryptophan,Percentage of tryptophan,Percentage of glycine,Dayhoff statistic of glycine,Percentage of aliphatic mole,Percentage of tiny mole,Class I Immunogenicity score,Dayhoff statistic of tyrosine,Percentage of secondary helix,Dayhoff statistic of methionine,Percentage of tyrosine,Average Residue Weight,Percentage of methionine,Percentage of valine,Dayhoff statistic of valine,N-linked glycosylation sites,C-mannosylation sites,Percentage of cysteine,Dayhoff statistic of cysteine,Dayhoff statistic of aspartic acid,Percentage of aspartic acid,SS,TS,PS,SN,SR,ST,RR,SP,RS,HS,SA,DS,SD,SQ,RL,GQ,IS,LS,NS,NN,YG,TP,SF,IG,CG,SL,PV,IK,KN,VF,ES,HT,KM,PR,YK,DD,KW,WN,FD,PY,KY,CK,ND,NF,GC,FI,VG,GK,SV,SG,KF,MK,GS,HH,VS,AY,AR,WA,PP,YW,NY,MP,KC,TC,KV,FN,LK,QS,FG,CC,EP,TR,EW,RP,LP,PD,AW,KL,AS,IV,HE,ML,VV,HG,NW,MV,PN,KR,VC,GY,KD,VW,CN,NP,FK,HL,IF,FT,VP,DK,ET,VD,IC,MY,NR,FW,SH,HP,WV,LR,II,YI,IW,AT,DH,WM,YV,WP,LF,PI,LI,LD
gi|685956712|gb|KGB32881.1|,1.018,7.1233,0,50.29616438,0.058,53.1507,0.779,0.3507,46.8493,0.2274,0.109589041,93,5.2986,0,1.398,6.8493,13.1507,-0.272328767,42.1918,2.4548,1.137,113,1.598,0.862,5.7534,42528.98,0.207,0.0438,5.7534,1.106,10.3205,1.411,7.6712,1.162,8.7671,1.948,1.054,1.3699,4.3836,0.522,24.1096,21.0959,1.1716,1.128,40,1.612,3.8356,116.5178,2.7397,5.2055,0.789,3,0,1.6438,0.567,0.847,4.6575,0.011,0.0055,0.0027,0,0,0.0055,0,0.011,0.011,0.0055,0,0,0,0,0.0055,0,0.0055,0.0082,0,0.0055,0.0027,0,0.0027,0.0027,0.0055,0.0027,0.0055,0.0082,0.0027,0.0055,0.011,0,0.0027,0.0055,0.0027,0.0082,0,0.0027,0,0.0027,0.0027,0,0.0027,0.0027,0.0027,0.0192,0,0.0027,0.0082,0.0027,0.0027,0.0027,0,0,0.0055,0.0055,0,0,0.0027,0,0,0.0027,0,0,0.0082,0,0.0082,0,0.0027,0,0.0027,0,0,0.0055,0.0082,0,0,0.0055,0,0.0027,0,0,0.0027,0,0.0027,0,0,0.0082,0,0,0.0082,0,0,0.0055,0.0137,0.0082,0.0082,0.0027,0.0027,0.0027,0.0027,0,0.0027,0,0.0055,0,0.0027,0,0,0.0137,0.0055,0,0,0,0,0,0.0027,0,0.0055,0.0055,0.0082,0.011
gi|1345835|sp|Q06814.2|CALR_SCHMA,0.691,4.8346,3,31.7305598,0.92,46.8193,0.132,0.2723,53.1807,0.2188,0.10178117,238,5.173,0,0.519,2.5445,11.9593,-0.965139949,48.0916,2.626,1.825,136,0.99,0.803,3.5623,45395.84,0.029,0.0254,7.1247,1.37,9.8753,1.3257,11.7048,1.773,5.598,1.244,2.153,2.799,5.598,0.666,17.0483,19.3384,-0.869,1.123,39,1.048,3.8168,115.511,1.7812,4.8346,0.733,1,0,0.7634,0.263,2.267,12.4682,0.0025,0,0.0025,0.0025,0,0.0025,0.0025,0.0076,0,0,0.0025,0.0051,0.0051,0,0.0025,0,0.0025,0.0051,0,0.0025,0.0025,0.0025,0,0.0025,0.0051,0.0025,0.0051,0.0051,0.0025,0,0.0051,0,0,0.0025,0.0127,0.0229,0,0,0.0076,0.0051,0.0076,0.0025,0.0051,0,0,0.0025,0.0025,0.0076,0,0.0051,0.0051,0,0.0076,0,0.0025,0.0025,0.0051,0,0.0025,0,0.0025,0,0,0,0.0076,0.0025,0.0051,0.0051,0.0025,0,0.0051,0,0.0076,0.0025,0.0051,0.0178,0,0.0025,0.0025,0.0025,0.0025,0.0051,0,0.0025,0.0051,0.0025,0.0076,0.0025,0,0.0025,0.0076,0.0025,0,0.0102,0.0025,0.0051,0.0051,0.0025,0,0.0102,0.0051,0.0102,0.0025,0,0.0025,0,0,0,0.0051,0,0,0.0025,0,0.0025,0.0025,0,0.0051,0,0,0.0025,0.0076,0
gi|74768579|sp|Q5BS23.1|SJ711_SCHJA,1.478,10.3448,0,41.60344828,0.944,54.023,0.096,0.2414,45.977,0.2529,0.034482759,21,4.5977,0,0.704,3.4483,6.8966,-0.03908046,51.7241,2.4023,0.157,24,0.639,0.896,2.2989,9486.93,0.018,0.1609,3.4483,0.663,9.6092,1.3103,10.3448,1.567,8.046,1.788,0,0,9.1954,1.095,20.6897,39.0805,-1.1834,0.338,39,1.352,1.1494,109.0452,2.2989,4.5977,0.697,0,0,13.7931,4.756,0.418,2.2989,0,0,0,0.0115,0,0.0115,0,0,0,0,0,0,0,0,0,0,0.0115,0.0115,0,0,0,0,0,0,0.0115,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345,0,0,0,0.0115,0,0,0,0.0115,0.0115,0,0.0115,0,0,0,0,0,0,0,0,0,0.0115,0,0,0,0.0115,0,0,0.023,0.0115,0.0115,0,0,0,0,0,0,0,0,0,0,0,0.0115,0,0,0,0.0115,0.0115,0.0115,0,0,0,0,0.0115,0,0,0,0,0,0,0,0.0115,0,0,0,0.0115,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0.023,0
gi|160358750|sp|Q5C6R9.3|SJ381_SCHJA,0.762,5.3333,0,42.546,0.901,46,0.16,0.2733,54,0.2133,0.08,59,4.98,0,1.088,5.3333,9.3333,-0.464,48,2.5933,0.745,28,1.111,0.57,4,17382.2,0.021,0.1,4,0.769,9.86,1.38,4.6667,0.707,6.6667,1.481,0.513,0.6667,2.6667,0.317,19.3333,29.3333,1.0153,0.98,35,0.392,3.3333,115.8813,0.6667,4.6667,0.707,7,0,9.3333,3.218,0.121,0.6667,0.0067,0,0,0,0.0067,0.0133,0,0,0,0,0,0,0,0,0.0067,0.0067,0,0,0.02,0,0,0,0,0,0.0067,0,0,0.0067,0.0133,0,0,0,0,0,0,0,0,0,0,0.0133,0.0067,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0.0067,0,0,0,0,0,0,0,0,0.0133,0,0.0067,0,0,0,0.0133,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.0067,0,0,0,0.0067,0.0067,0,0,0,0,0.0067,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.0067,0,0.0067,0.0067,0,0,0.0067,0,0.0067,0,0.0067,0
gi|11167|emb|CAA50305.1|,0.919,6.4327,1,32.98157895,0.898,51.7544,0.084,0.2661,48.2456,0.231,0.099415205,163,4.9854,0,1.193,5.848,13.4503,-0.606432749,49.7076,2.4883,1.814,102,0.893,0.724,3.2164,38794.43,0.056,0.0643,4.0936,0.787,9.6667,1.4211,7.3099,1.108,7.0175,1.559,2.024,2.6316,9.0643,1.079,16.6667,29.5322,0.7859,1.204,31,1.376,4.0936,113.434,2.3392,5.5556,0.842,0,0,4.0936,1.412,1.276,7.0175,0,0,0.0029,0,0.0058,0,0.0029,0,0,0.0029,0.0058,0.0029,0.0088,0.0058,0,0.0029,0.0088,0.0058,0.0029,0.0058,0.0058,0.0088,0.0029,0.0029,0.0088,0.0058,0.0029,0.0029,0,0,0.0058,0.0058,0,0,0.0088,0.0029,0.0029,0.0029,0.0058,0.0088,0.0029,0.0088,0,0,0.0058,0.0029,0.0029,0.0029,0,0.0058,0,0.0029,0.0088,0.0058,0.0029,0,0.0058,0.0029,0,0.0058,0.0029,0,0.0029,0.0029,0.0029,0,0.0029,0.0088,0.0029,0.0029,0.0029,0.0029,0,0.0029,0,0.0029,0.0029,0,0,0.0088,0,0.0029,0.0029,0,0,0.0029,0,0.0088,0,0.0029,0.0029,0,0,0,0,0,0,0.0029,0,0.0058,0,0.0029,0.0029,0.0029,0.0029,0,0,0.0029,0.0029,0,0.0029,0.0029,0,0,0.0029,0,0,0.0029,0.0058,0,0.0088,0.0058
gi|27805450|sp|Q26565.1|PPIA_SCHMA,0.976,6.8323,0,16.45341615,0.061,52.795,0.873,0.2733,47.205,0.2919,0.111801242,61,4.8758,0,0.634,3.1056,14.2857,-0.343478261,54.0373,2.441,0.48,41,2.588,0.918,9.3168,17670.37,0.132,0.0559,3.1056,0.597,9.472,1.3354,9.3168,1.412,6.8323,1.518,0.478,0.6211,12.4224,1.479,16.1491,32.2981,0.2074,0.365,31,1.461,1.2422,109.7539,2.4845,5.5901,0.847,1,0,3.1056,1.071,1.129,6.2112,0,0.0062,0.0062,0,0,0.0062,0,0,0,0,0,0,0,0.0062,0.0062,0,0,0.0062,0,0.0062,0.0062,0,0,0,0.0062,0.0124,0,0.0062,0.0062,0.0124,0.0062,0,0.0062,0,0.0062,0,0,0,0.0062,0,0,0,0.0062,0.0186,0,0.0062,0,0.0248,0.0062,0.0124,0.0062,0,0.0186,0,0.0062,0,0,0,0,0,0,0,0,0,0.0062,0.0124,0,0,0.0124,0,0,0.0062,0,0,0,0.0062,0,0,0,0,0.0062,0,0.0186,0,0,0,0.0062,0,0,0.0062,0.0062,0,0,0,0.0062,0,0.0062,0.0062,0.0124,0,0,0,0,0,0,0,0,0,0,0,0.0248,0,0,0,0,0,0,0,0.0062,0,0,0.0062
gi|56757151|gb|AAW26747.1|,0.968,6.7729,0,46.44709163,0.26,49.4024,0.776,0.2988,50.5976,0.1594,0.091633466,86,5.0797,0,1.22,5.9761,9.5618,-0.507968127,43.4263,2.5936,1.054,93,0.885,0.789,3.1873,28802.47,0.073,0.0359,2.3904,0.46,10.0438,1.3506,7.9681,1.207,5.5777,1.239,0.613,0.7968,3.5857,0.427,20.7171,24.7012,-0.8462,1.523,69,1.875,5.1793,114.7509,3.1873,5.1793,0.785,2,0,0.3984,0.137,1.449,7.9681,0.004,0,0,0.004,0.004,0.004,0.004,0,0.004,0,0.012,0.0159,0,0.004,0.004,0.004,0.004,0.008,0,0,0,0,0,0.004,0,0,0,0.004,0.004,0.008,0.004,0,0.004,0.004,0.008,0.012,0,0,0.004,0,0.004,0,0.004,0,0,0,0,0,0.012,0,0.004,0.004,0,0,0.004,0.008,0,0,0,0,0.004,0,0,0,0.004,0,0.004,0,0,0,0,0,0,0,0,0.004,0,0.008,0.008,0,0,0,0,0,0,0.004,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0,0.004,0,0,0,0,0,0.004,0,0.004,0.004,0,0,0.008,0,0.004,0,0,0.008,0.004,0.012,0.008
gi|685965563|gb|KGB40141.1|,1.533,10.728,0,36.17747126,0.149,45.5939,0.822,0.3218,54.4061,0.2222,0.099616858,61,5.1456,0,0.704,3.4483,13.41,-0.401915709,45.2107,2.5249,0.862,83,1.49,0.821,5.364,30028.33,0.128,0.0421,2.2989,0.442,10.1034,1.3755,10.3448,1.567,7.2797,1.618,0.589,0.7663,3.4483,0.411,22.2222,25.6705,-3.7487,1.127,38,1.127,3.8314,115.0511,1.9157,5.7471,0.871,3,0,2.2989,0.793,1.045,5.7471,0.0077,0.0153,0.0038,0.0038,0,0.0038,0,0,0.0077,0.0077,0,0.0038,0.0115,0,0,0,0.0038,0.0077,0.0038,0,0,0,0.0038,0,0,0.0115,0,0.0153,0.0077,0.0038,0.0038,0,0,0,0,0,0,0,0.0077,0,0,0.0038,0.0038,0.0038,0,0.0038,0,0.0038,0.0077,0,0.0077,0.0038,0.0038,0,0,0.0038,0.0038,0,0,0,0,0,0.0038,0.0038,0.0077,0.0038,0.0077,0.0077,0.0077,0,0,0,0,0,0,0.0038,0,0.0077,0,0.0115,0.0038,0.0038,0,0.0077,0,0,0,0.0038,0,0.0077,0.0038,0,0,0.0038,0.0077,0.0038,0,0,0.0077,0,0.0038,0,0.0038,0,0.0038,0,0.0038,0,0,0.0038,0.0038,0,0,0.0038,0,0,0,0,0.0077,0,0.0115,0.0038
gi|29840988|gb|AAP06001.1|,0.731,5.1163,0,40.2744186,0.326,53.9535,0.562,0.3163,46.0465,0.2093,0.125581395,45,5.1767,0,1.139,5.5814,14.8837,-0.406511628,48.3721,2.4605,1.834,69,0.904,0.709,3.2558,24995.91,0.081,0.0791,3.7209,0.716,9.9721,1.4326,6.9767,1.057,4.6512,1.034,1.431,1.8605,4.186,0.498,19.0698,26.9767,-1.0983,2.189,29,1.368,7.4419,116.26,2.3256,6.9767,1.057,1,0,5.5814,1.925,0.507,2.7907,0.0047,0.0047,0,0,0.014,0,0.0047,0.0093,0,0,0,0.0047,0,0.0047,0,0.0093,0,0.0047,0,0.0047,0.0093,0,0.0047,0,0.0047,0.0047,0,0,0.0093,0.0047,0,0,0,0,0.0093,0,0.0047,0,0,0.0093,0.0047,0.0047,0,0.0047,0.0047,0,0.0093,0,0,0,0.0047,0.0047,0,0,0.0047,0.0047,0.0093,0,0,0,0.0093,0,0.0047,0.0047,0,0,0.0047,0.0047,0.0047,0,0.0047,0.0047,0,0,0,0,0,0,0.0047,0.0093,0.0047,0,0.0093,0,0,0,0,0,0.0047,0,0.0047,0.0047,0.0186,0,0.0047,0.0093,0,0,0,0.0047,0.0047,0.0047,0.0047,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0.0047
gi|56753359|gb|AAW24883.1|,0.722,5.0523,2,33.41378049,0.03,54.5296,0.099,0.277,45.4704,0.216,0.054006969,204,4.7474,0,1.173,5.7491,6.446,-0.178222997,53.3101,2.4216,0.505,175,0.871,0.79,3.1359,62137.51,0.922,0.047,2.7875,0.536,9.8084,1.3624,8.885,1.346,6.0976,1.355,0.402,0.5226,9.4077,1.12,22.2997,32.5784,-0.9735,0.512,42,1.845,1.7422,108.2535,3.1359,8.885,1.346,2,0,1.5679,0.541,0.855,4.7038,0.0052,0,0,0.0035,0,0.0052,0.0035,0.0035,0.0052,0,0.0052,0,0,0.0017,0.0052,0,0.007,0.007,0.0017,0.0035,0.0017,0.0035,0.0017,0.0052,0,0.0052,0.0017,0.0035,0.0017,0.0035,0.0017,0,0.0035,0,0,0,0.0017,0,0.0017,0.0017,0.0017,0,0.0035,0,0.0035,0.0052,0.0035,0.0017,0.0017,0,0.0052,0.007,0.0035,0,0.0017,0,0.0105,0,0.0017,0,0,0,0,0.0017,0.0087,0,0.007,0,0.007,0,0,0.0017,0,0.0017,0.0035,0,0,0.007,0.007,0.0052,0.0017,0.0052,0.0105,0,0,0,0,0.007,0.0017,0.0035,0.0087,0,0.0017,0.0017,0,0,0.0017,0.0017,0.0035,0.0035,0.0035,0.007,0,0,0.0052,0,0,0,0,0.007,0.0052,0.0035,0,0.0052,0,0,0.0017,0,0.0035,0.0017,0.0052,0.0017
