Sequence ID,Dayhoff statistic of serine,Percentage of serine,Binding Regions in Disordered Proteins,Instability Index,Secretory pathway signal peptide (SP),Percentage of non polar mole,Other subcellular location,Secondary helix fraction,Percentage of polar mole,Secondary turn fraction,Aromaticity,Count of linear B-cell epitopes,Average carbon sparing,Arginine and lysine propeptide cleavage sites,Dayhoff statistic of arginine,Percentage of arginine,Percentage of aromatic mole,Grand average of hydropathy (GRAVY),Percentage of small mole,Average oxygen sparing,Absobance A280,Proteasomal cleavages (MHC ligands),Dayhoff statistic of phenylalanine,Probability of Expression Inclusion Bodies,Percentage of phenylalanine,Molecular Weight,Mitochondrial targeting peptide (mTP),Average sulphur sparing,Percentage of proline,Dayhoff statistic of proline,Average hydrogen sparing,Average nitrogen sparing,Percentage of lysine,Dayhoff statistic of lysine,Percentage of isoleucine,Dayhoff statistic of isoleucine,Dayhoff statistic of tryptophan,Percentage of tryptophan,Percentage of glycine,Dayhoff statistic of glycine,Percentage of aliphatic mole,Percentage of tiny mole,Class I Immunogenicity score,Dayhoff statistic of tyrosine,Percentage of secondary helix,Dayhoff statistic of methionine,Percentage of tyrosine,Average Residue Weight,Percentage of methionine,Percentage of valine,Dayhoff statistic of valine,N-linked glycosylation sites,C-mannosylation sites,Percentage of cysteine,Dayhoff statistic of cysteine,Dayhoff statistic of aspartic acid,Percentage of aspartic acid,SS,TS,PS,SN,SR,ST,RR,SP,RS,HS,SA,DS,SD,SQ,RL,GQ,IS,LS,NS,NN,YG,TP,SF,IG,CG,SL,PV,IK,KN,VF,ES,HT,KM,PR,YK,DD,KW,WN,FD,PY,KY,CK,ND,NF,GC,FI,VG,GK,SV,SG,KF,MK,GS,HH,VS,AY,AR,WA,PP,YW,NY,MP,KC,TC,KV,FN,LK,QS,FG,CC,EP,TR,EW,RP,LP,PD,AW,KL,AS,IV,HE,ML,VV,HG,NW,MV,PN,KR,VC,GY,KD,VW,CN,NP,FK,HL,IF,FT,VP,DK,ET,VD,IC,MY,NR,FW,SH,HP,WV,LR,II,YI,IW,AT,DH,WM,YV,WP,LF,PI,LI,LD
gi|76162608|gb|AAX30549.2|,1.754,12.2807,0,40.57807018,0.211,44.7368,0.892,0.3421,55.2632,0.2807,0.070175439,26,4.9649,0,1.074,5.2632,9.6491,-0.209649123,50.8772,2.5526,0.886,34,0.731,0.888,2.6316,12934.24,0.039,0.0351,1.7544,0.337,9.9825,1.4035,3.5088,0.532,5.2632,1.17,0.675,0.8772,2.6316,0.313,27.193,28.9474,-0.8519,1.032,20,0.516,3.5088,113.4582,0.8772,6.1404,0.93,1,0,2.6316,0.907,0.478,2.6316,0.0088,0.0175,0,0.0175,0.0088,0.0175,0,0,0.0088,0,0,0.0088,0,0,0.0088,0,0,0.0175,0.0088,0.0175,0,0,0,0,0,0.0175,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0.0175,0,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0,0,0.0088,0.0088,0,0,0,0,0,0,0,0,0,0.0175,0.0088,0,0,0,0,0.0088,0,0,0.0088,0,0,0,0,0.0088,0.0088,0,0,0.0088,0.0088,0.0088,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0,0,0.0088,0,0,0,0
gi|350645402|emb|CCD59931.1|,1.041,7.2874,0,43.86680162,0.102,55.8704,0.886,0.3117,44.1296,0.2227,0.105263158,45,4.9879,0,0.909,4.4534,13.3603,-0.141700405,49.7976,2.4777,1.238,75,1.237,0.588,4.4534,27778.81,0.088,0.0769,3.2389,0.623,9.7166,1.3279,4.8583,0.736,5.668,1.26,0.934,1.2146,7.6923,0.916,20.6478,30.3644,-0.5744,1.429,35,2.62,4.8583,112.4648,4.4534,6.0729,0.92,2,0,3.2389,1.117,1.104,6.0729,0.004,0.0081,0,0,0.004,0.0121,0.004,0.004,0.004,0.004,0.004,0.0081,0.004,0,0.0121,0,0.004,0.0081,0,0.004,0.004,0.004,0.004,0.0081,0,0.0121,0,0.0081,0,0,0,0.004,0,0,0.004,0,0,0.004,0.004,0,0.0081,0,0,0,0,0.004,0.004,0,0.004,0.004,0.004,0.004,0.004,0.004,0.0081,0.004,0,0,0,0,0.004,0.004,0.004,0.004,0.004,0,0.0081,0.004,0.004,0.004,0.004,0.004,0,0,0,0,0,0,0,0.004,0,0.0081,0.004,0.004,0,0,0.004,0,0,0.0081,0,0,0,0,0.004,0,0,0.004,0,0,0,0,0.004,0,0.004,0,0,0,0,0.0081,0,0,0,0.004,0,0,0.0081,0,0,0.0081,0,0
gi|226487698|emb|CAX74719.1|,2.049,14.3401,8,59.83718274,0.049,43.6548,0.612,0.2284,56.3452,0.3236,0.07106599,395,4.7843,1,0.984,4.8223,9.1371,-0.569543147,58.3756,2.5279,0.676,237,1.34,0.976,4.8223,87181.43,0.335,0.0558,7.1066,1.367,9.5723,1.3769,6.3452,0.961,3.4264,0.761,0.781,1.0152,3.2995,0.393,15.736,35.0254,-14.971,0.373,18,0.97,1.269,110.6363,1.6497,5.0761,0.769,9,0,3.934,1.357,0.646,3.5533,0.0266,0.0152,0.0102,0.0063,0.0051,0.0152,0.0038,0.0025,0.0063,0.0013,0.0089,0.0038,0.0051,0.0076,0.0051,0.0013,0.0089,0.0102,0.0114,0.0076,0.0013,0.0038,0.0089,0.0013,0,0.0127,0.0038,0.0013,0.0013,0.0025,0.0025,0.0013,0.0025,0.0038,0,0.0025,0,0,0.0025,0.0013,0,0.0025,0.0038,0.0025,0.0013,0,0.0013,0.0013,0.0038,0.0051,0.0051,0.0013,0.0025,0,0.0051,0,0.0051,0,0.0025,0,0.0013,0.0025,0.0013,0.0063,0.0025,0.0089,0.0063,0.0076,0.0025,0.0051,0.0063,0.0038,0,0.0025,0.0114,0.0013,0,0.0025,0.0051,0.0025,0.0013,0,0.0038,0,0,0.0038,0.0076,0.0038,0.0013,0.0038,0.0013,0.0025,0.0025,0.0063,0.0025,0.0013,0.0013,0.0063,0.0063,0.0051,0.0063,0.0013,0.0013,0,0.0038,0.0013,0.0013,0.0013,0,0.0038,0,0.0013,0,0.0025,0.0013,0,0,0,0.0038,0.0013,0.0013,0.0038
gi|685961202|gb|KGB36846.1|,2.248,15.7357,43,60.33476221,0.05,41.4299,0.741,0.2451,58.5701,0.3428,0.060325567,1617,4.7616,2,0.853,4.1813,9.3201,-0.624577083,58.2828,2.5985,0.611,960,0.745,0.911,2.6811,347991.92,0.321,0.0482,6.6709,1.283,9.5129,1.3699,4.2132,0.638,5.458,1.213,0.344,0.4469,2.9684,0.353,18.4807,32.3332,-60.8366,0.854,12,0.901,2.9046,111.0731,1.5321,4.4686,0.677,32,0,3.2876,1.134,1.074,5.9049,0.0287,0.0105,0.0102,0.014,0.0041,0.0144,0.0035,0.0109,0.008,0.0061,0.0029,0.0067,0.0077,0.0048,0.0045,0.0022,0.0077,0.0195,0.0115,0.0163,0.0013,0.0032,0.0051,0.0019,0.001,0.0169,0.0051,0.0013,0.0022,0.001,0.0041,0.0016,0.001,0.0019,0.0006,0.0083,0,0,0.0019,0.0026,0.0019,0.0022,0.0038,0.0029,0.0013,0.0013,0.0013,0.001,0.0041,0.0051,0.0013,0.0013,0.0038,0.0026,0.0061,0.001,0.001,0,0.0077,0.0003,0.0019,0.0013,0.001,0.0032,0.0022,0.0026,0.0035,0.0083,0.0006,0.0006,0.0035,0.0029,0,0.0016,0.0057,0.0022,0.0003,0.0032,0.0045,0.0026,0.0016,0.0013,0.0045,0.0006,0.0003,0.0006,0.0016,0.0048,0.0016,0.001,0.001,0,0.0022,0.0048,0.0013,0.0016,0.0013,0.0013,0.0013,0.0026,0.0029,0.0032,0.0019,0,0.0051,0,0.0035,0.0022,0,0.0057,0.0032,0.001,0,0.0019,0.001,0.0003,0.0022,0.0006,0.0026,0.0045,0.0038,0.0029
gi|226470060|emb|CAX70311.1|,1.387,9.7087,0,39.95533981,0.047,50.4854,0.63,0.2913,49.5146,0.2718,0.097087379,21,5.1359,0,1.387,6.7961,12.6214,-0.505825243,46.6019,2.4951,1.409,33,1.079,0.874,3.8835,12038.38,0.339,0.0874,6.7961,1.307,9.9709,1.4466,4.8544,0.736,5.8252,1.294,1.494,1.9417,2.9126,0.347,19.4175,23.301,-0.5467,1.142,32,2.284,3.8835,116.8775,3.8835,3.8835,0.588,0,0,4.8544,1.674,0.883,4.8544,0.0097,0.0291,0,0,0.0097,0,0,0,0,0,0,0,0,0.0194,0.0194,0,0,0.0097,0.0097,0,0,0,0.0097,0.0097,0.0097,0.0097,0,0,0,0.0194,0.0097,0.0097,0,0.0194,0,0,0,0,0,0,0,0,0.0097,0,0,0.0097,0,0.0097,0,0,0,0,0,0,0,0,0,0,0.0194,0,0,0,0,0,0,0,0,0.0097,0,0.0097,0,0,0,0,0.0097,0.0097,0,0.0097,0,0,0,0,0,0,0.0097,0,0.0097,0,0,0.0097,0,0,0.0097,0,0,0,0.0097,0,0.0097,0.0194,0,0.0097,0,0,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097,0.0097,0
gi|226466704|emb|CAX69487.1|,1.65,11.5502,5,73.81887538,0.059,42.2492,0.918,0.2736,57.7508,0.2736,0.05775076,176,4.9787,1,1.427,6.9909,8.5106,-0.824012158,48.9362,2.5957,0.836,110,0.507,0.764,1.8237,37570.65,0.098,0.0213,6.079,1.169,9.9757,1.4347,7.9027,1.197,6.079,1.351,0.701,0.9119,4.2553,0.507,21.5805,23.1003,-3.2461,0.894,38,0.715,3.0395,114.1965,1.2158,6.6869,1.013,2,0,0.9119,0.314,1.382,7.5988,0.0152,0.0061,0.0122,0.0061,0.0091,0.003,0.0122,0.0213,0.0091,0.0061,0,0.0061,0.0091,0.0091,0,0,0,0.0152,0.0061,0,0,0,0,0,0,0,0.0091,0.0122,0.003,0.003,0.0091,0.003,0.003,0.0061,0.003,0.0091,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0.0091,0.0061,0,0,0.003,0,0.003,0.003,0.003,0,0.0061,0,0,0,0,0,0,0,0.003,0.003,0,0,0.0061,0.003,0,0,0.0061,0.003,0,0.0091,0.003,0,0,0.003,0,0,0,0,0.003,0.0152,0.003,0,0,0,0,0,0,0,0.003,0,0.003,0.003,0.003,0.0061,0,0,0,0,0.003,0,0.003,0.003,0.003,0,0.003,0,0,0,0,0,0,0,0.0122,0.0061
gi|685959428|gb|KGB35220.1|,1.011,7.0796,2,53.21769912,0.049,47.7876,0.522,0.2478,52.2124,0.1858,0.061946903,47,4.9735,0,2.528,12.3894,7.9646,-0.676106195,42.4779,2.4159,0.465,40,0.737,0.837,2.6549,12811.3,0.522,0.0177,4.4248,0.851,10.2566,1.5664,7.9646,1.207,4.4248,0.983,0,0,6.1947,0.737,18.5841,30.9735,-0.7998,1.041,44,1.041,3.5398,113.3743,1.7699,4.4248,0.67,0,0,0,0,0.322,1.7699,0.0177,0,0,0,0,0.0177,0.0177,0,0,0,0.0265,0,0,0.0088,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0,0.0088,0,0.0354,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0.0088,0.0088,0,0,0.0088,0,0,0,0,0.0088,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0.0088,0,0,0,0,0,0,0,0,0.0088,0,0,0,0.0088,0,0,0,0,0,0,0.0177,0
gi|56755587|gb|AAW25972.1|,1.621,11.3475,0,52.99432624,0.092,46.0993,0.906,0.3262,53.9007,0.1915,0.113475177,30,5.1986,0,1.013,4.9645,16.3121,-0.423404255,46.8085,2.5745,2.282,40,0.788,0.665,2.8369,16624.23,0.083,0.078,1.4184,0.273,9.9149,1.4043,5.6738,0.86,6.383,1.418,2.728,3.5461,2.8369,0.338,21.2766,27.6596,-0.4382,1.46,40,1.252,4.9645,117.9023,2.1277,6.383,0.967,0,0,5.6738,1.956,1.418,7.8014,0.0355,0.0142,0,0,0,0.0071,0.0071,0,0,0,0,0.0071,0,0.0071,0.0071,0.0071,0.0071,0.0142,0,0.0071,0,0,0.0071,0.0071,0,0,0,0.0142,0,0,0,0.0071,0,0,0,0.0071,0.0071,0,0,0,0,0,0.0071,0,0,0,0,0,0.0071,0,0,0.0071,0.0071,0,0.0071,0,0,0.0071,0,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0.0142,0,0.0071,0.0142,0,0,0,0.0071,0,0,0.0071,0.0071,0,0.0071,0.0071,0.0142,0,0,0.0071,0,0,0,0,0.0071,0,0,0,0,0,0.0071,0,0,0.0142,0,0,0.0071,0,0,0,0.0071,0,0,0,0,0
gi|353229624|emb|CCD75795.1|,1.554,10.8761,24,68.88933535,0.049,46.3243,0.461,0.2054,53.6757,0.3283,0.066465257,713,4.858,1,1.048,5.136,11.1782,-0.978046324,53.3736,2.5307,0.95,325,0.392,0.949,1.4099,111077.79,0.516,0.0363,11.5811,2.227,9.5156,1.4471,3.7261,0.565,3.2226,0.716,0.542,0.7049,5.3374,0.635,13.8973,27.6939,-19.3866,1.333,19,1.599,4.5317,111.8608,2.719,5.8409,0.885,6,1,0.9063,0.313,0.586,3.2226,0.0151,0.006,0.0081,0.0101,0.006,0.006,0.004,0.005,0.004,0.004,0.0091,0.002,0.003,0.0141,0.007,0.006,0.005,0.004,0.0091,0.004,0.001,0.005,0,0.004,0,0.002,0.0131,0.001,0.002,0,0.004,0.002,0,0.003,0,0.001,0,0,0,0.006,0.001,0,0.002,0.001,0.003,0,0.0081,0.002,0.0091,0.0091,0,0,0.004,0.002,0.007,0.003,0.003,0,0.0242,0.001,0,0.004,0,0,0.004,0,0.002,0.0131,0.003,0,0.001,0.002,0,0.004,0.004,0.004,0.001,0.003,0.0081,0,0.001,0,0.003,0.003,0.001,0.003,0.0081,0.002,0,0.004,0.001,0.001,0,0.007,0,0.001,0,0.002,0.0171,0.002,0,0.002,0,0.002,0,0,0.004,0.007,0,0.004,0.002,0.002,0,0.002,0,0,0.003,0.001,0,0.003,0.004,0.001
gi|207008786|emb|CAR80306.1|,1.756,12.2951,1,41.58770492,0.039,46.7213,0.874,0.2623,53.2787,0.2295,0.057377049,64,4.9426,0,1.338,6.5574,8.1967,-0.552459016,48.3607,2.3934,0.549,46,0.455,0.874,1.6393,13574.36,0.185,0.0246,4.0984,0.788,10.2869,1.4508,16.3934,2.484,5.7377,1.275,0,0,4.0984,0.488,20.4918,30.3279,-3.5281,1.205,58,1.446,4.0984,111.2652,2.459,9.0164,1.366,0,0,0,0,0.447,2.459,0.0164,0,0,0,0.0164,0.0082,0.0164,0,0,0,0,0,0,0,0.0164,0,0.0164,0.0082,0.0082,0,0,0,0.0082,0,0,0,0,0,0,0,0.0082,0,0,0,0.0082,0,0,0,0,0,0.0082,0,0.0082,0,0,0,0,0.0082,0,0.0164,0,0,0.0082,0,0.0164,0,0,0,0.0082,0,0,0.0082,0,0,0.0328,0,0,0,0,0,0,0,0,0,0.0164,0.0082,0,0.0082,0.0164,0,0,0,0.0082,0,0,0,0,0.0082,0,0,0,0,0,0,0,0,0.0082,0,0,0.0082,0,0.0082,0,0,0,0,0.0082,0.0082,0,0.0082,0,0.0082,0,0,0,0,0,0,0,0,0,0
gi|685962748|gb|KGB38120.1|,1.781,12.4646,12,53.63441926,0.059,38.3853,0.902,0.2436,61.6147,0.2819,0.060906516,367,4.8357,0,1.156,5.6657,9.3484,-0.823512748,55.949,2.6445,0.547,204,0.748,0.705,2.6912,80017.15,0.117,0.0439,4.8159,0.926,9.6572,1.4136,5.8074,0.88,5.8074,1.291,0.218,0.2833,2.9745,0.354,18.272,28.4703,-8.923,0.917,21,0.833,3.1161,113.3387,1.4164,5.949,0.901,6,0,2.9745,1.026,1.597,8.7819,0.0297,0.0099,0.0042,0.0085,0.0042,0.0127,0.0057,0.0099,0,0.0042,0.0014,0.0071,0.0085,0.0071,0.0057,0,0.0042,0.0042,0.0127,0.0156,0.0028,0.0042,0.0014,0.0028,0,0.0057,0.0057,0.0057,0.0042,0.0014,0.0042,0.0014,0,0.0042,0.0028,0.0156,0,0,0,0.0028,0.0014,0.0028,0.0071,0,0.0042,0.0028,0.0028,0.0014,0.0071,0.0071,0,0,0.0071,0,0.0071,0,0.0028,0,0.0014,0,0,0.0014,0.0028,0.0014,0.0071,0.0014,0.0071,0.0042,0.0042,0,0.0014,0.0042,0,0.0014,0.0042,0.0014,0,0.0042,0.0028,0.0057,0.0014,0,0.0014,0,0,0,0.0071,0.0085,0.0014,0.0014,0.0028,0.0014,0.0014,0.0042,0.0042,0.0057,0.0014,0.0014,0.0028,0.0028,0.0042,0.0028,0,0.0028,0.0028,0,0.0042,0.0014,0,0.0057,0.0042,0.0014,0,0.0057,0.0028,0,0.0014,0,0.0014,0.0014,0.0014,0.0085
gi|226478742|emb|CAX72866.1|,1.949,13.6401,22,56.03698439,0.017,41.9063,0.746,0.1964,58.0937,0.3098,0.058340181,748,4.7494,2,1.694,8.2991,9.5316,-0.91569433,54.8069,2.5267,0.884,378,0.708,0.961,2.5472,135398.56,0.431,0.037,5.9162,1.138,9.5596,1.4971,6.2449,0.946,3.6976,0.822,0.948,1.2325,5.5875,0.665,13.8044,33.9359,-18.2009,0.604,26,0.918,2.0542,111.256,1.5612,3.6976,0.56,13,0,2.1364,0.737,0.986,5.4232,0.0312,0.0107,0.0066,0.0123,0.0041,0.0074,0.0099,0.014,0.0099,0.0066,0.0058,0.0074,0.0082,0.0049,0.0049,0.0025,0.0049,0.0058,0.0107,0.009,0.0016,0.0049,0.0008,0.0008,0,0.0066,0.0016,0.0016,0.0016,0,0.0025,0.0025,0,0.0058,0.0016,0.0074,0,0.0016,0,0.0016,0.0016,0.0016,0.0033,0.0016,0,0.0008,0.0033,0.0041,0.0066,0.0099,0,0.0008,0.0049,0.0008,0.0066,0,0.0041,0.0008,0.0058,0.0008,0.0008,0.0016,0.0008,0.0016,0.0025,0.0016,0.0033,0.0016,0.0025,0.0008,0.0016,0.0041,0,0.0066,0.0058,0.0008,0.0008,0.0049,0.0049,0.0033,0.0033,0.0008,0,0.0025,0.0008,0,0.0016,0.0074,0.0016,0.0025,0.0033,0.0016,0,0,0.0008,0.0025,0,0.0008,0.0008,0.0025,0.0033,0.0008,0,0.0008,0.0025,0,0.0066,0.0033,0,0.0066,0,0.0008,0.0008,0.0058,0,0.0008,0.0008,0.0008,0.0025,0.0016,0.0025,0.0025
